date,equity,cash,positions
2015-01-05,1000000.0,1000000.0,0
2015-01-06,1000000.0,600043.9644050598,2
2015-01-07,1011382.82371521,19.719210624694824,5
2015-01-08,1028358.3168096542,19.719210624694824,5
2015-01-09,1026131.6219835281,19.719210624694824,5
2015-01-12,1043340.3997430801,19.719210624694824,5
2015-01-13,1041997.772898674,19.719210624694824,5
2015-01-14,1033308.4725675583,53.51607036590576,5
2015-01-15,1027748.0464878082,90.80649089813232,5
2015-01-16,1038810.6176185608,90.80649089813232,5
2015-01-20,1036883.5327692032,90.80649089813232,5
2015-01-21,1038564.6132316589,90.80649089813232,5
2015-01-22,1062423.4327611923,90.80649089813232,5
2015-01-23,1068935.1303777695,90.80649089813232,5
2015-01-26,1067853.5964927673,90.80649089813232,5
2015-01-27,1064073.544201851,13.193349838256836,5
2015-01-28,1051394.673699379,207282.74060726166,4
2015-01-29,1052812.8194379807,3.338507652282715,5
2015-01-30,1031078.2639665604,25.954291343688965,5
2015-02-02,1038091.6003885269,25.954291343688965,5
2015-02-03,1049709.3272657394,25.954291343688965,5
2015-02-04,1045131.170378685,13667.030848503113,5
2015-02-05,1057522.7567586899,13667.030848503113,5
2015-02-06,1058554.6955137253,13667.030848503113,5
2015-02-09,1061848.0502710342,13667.030848503113,5
2015-02-10,1078929.7830171585,13667.030848503113,5
2015-02-11,1083530.6669130325,13667.030848503113,5
2015-02-12,1099300.44302845,13667.030848503113,5
2015-02-13,1110296.3536996841,13667.030848503113,5
2015-02-17,1113933.707892418,13667.030848503113,5
2015-02-18,1120685.670887947,13667.030848503113,5
2015-02-19,1124369.770474434,13667.030848503113,5
2015-02-20,1131166.6920175552,13667.030848503113,5
2015-02-23,1142444.1575250626,13667.030848503113,5
2015-02-24,1138516.4164133072,13667.030848503113,5
2015-02-25,1133476.454380989,13667.030848503113,5
2015-02-26,1140267.9503450394,19.79530620574951,5
2015-02-27,1131952.0648679733,19.79530620574951,5
2015-03-02,1124270.5071496964,0.44269466400146484,5
2015-03-03,1107035.5718410015,60.148138999938965,5
2015-03-04,1100264.953644991,60.148138999938965,5
2015-03-05,1114694.73888731,60.148138999938965,5
2015-03-06,1108096.3933820724,7.367070198059082,5
2015-03-09,1103604.6062335968,15.385921478271484,5
2015-03-10,1085656.570306778,448710.472782135,3
2015-03-11,1084708.472536087,660632.3917274475,2
2015-03-12,1095690.5028972626,3314.2427253723145,5
2015-03-13,1105599.4805660248,3314.2427253723145,5
2015-03-16,1112448.3637695312,3314.2427253723145,5
2015-03-17,1113302.7046394348,3314.2427253723145,5
2015-03-18,1126881.8827877045,3314.2427253723145,5
2015-03-19,1119669.0111980438,18.94945526123047,5
2015-03-20,1123820.8348197937,18.94945526123047,5
2015-03-23,1113210.643234253,18.94945526123047,5
2015-03-24,1104453.2716560364,443276.96925354004,3
2015-03-25,1089722.0534992218,440640.64379119873,3
2015-03-26,1093660.3701877594,440640.64379119873,3
2015-03-27,1091220.6952323914,222396.7301416397,4
2015-03-30,1109806.9419212341,442.92389011383057,5
2015-03-31,1103891.698000908,442.92389011383057,5
2015-04-01,1095625.4976148605,4.308516502380371,5
2015-04-02,1092357.9830703735,33.40002727508545,5
2015-04-06,1101629.632842064,85.75107860565186,5
2015-04-07,1085440.5204629898,36.73355770111084,5
2015-04-08,1084878.285434723,7.807707786560059,5
2015-04-09,1088205.1561193466,7.807707786560059,5
2015-04-10,1091815.841999054,7.807707786560059,5
2015-04-13,1088529.7378063202,3664.55832862854,5
2015-04-14,1126727.2449970245,3664.55832862854,5
2015-04-15,1137085.6767101288,3664.55832862854,5
2015-04-16,1137696.611410141,3664.55832862854,5
2015-04-17,1110610.1869335175,641722.1858921051,2
2015-04-20,1109618.7936725616,69.25872802734375,5
2015-04-21,1112407.68957901,69.25872802734375,5
2015-04-22,1109084.2542190552,69.25872802734375,5
2015-04-23,1110928.5181388855,69.25872802734375,5
2015-04-24,1114317.6698322296,69.25872802734375,5
2015-04-27,1104801.3559055328,21.976604461669922,5
2015-04-28,1113396.1428947449,21.976604461669922,5
2015-04-29,1106080.7445259094,0.08450984954833984,5
2015-04-30,1097054.6089582443,0.08450984954833984,5
2015-05-01,1106233.4864711761,2.075631618499756,5
2015-05-04,1106888.796514511,2.075631618499756,5
2015-05-05,1081702.03861475,405721.4659781456,3
2015-05-06,1084856.7346735,405721.4659781456,3
2015-05-07,1076931.464794159,17.45717191696167,5
2015-05-08,1092339.8343672752,25267.551501750946,5
2015-05-11,1096236.1237010956,25267.551501750946,5
2015-05-12,1093220.8901987076,25267.551501750946,5
2015-05-13,1098978.2220716476,26973.184611797333,5
2015-05-14,1112813.1866102219,26973.184611797333,5
2015-05-15,1116030.658561945,26973.184611797333,5
2015-05-18,1114481.749919653,26973.184611797333,5
2015-05-19,1109151.3175826073,26973.184611797333,5
2015-05-20,1105013.9678940773,24291.906116962433,5
2015-05-21,1109996.121532917,24291.906116962433,5
2015-05-22,1110431.4110321999,20020.072502613068,5
2015-05-26,1102454.236135006,429147.7839226723,3
2015-05-27,1115041.6277508736,36.219027042388916,5
2015-05-28,1122255.544122219,36.219027042388916,5
2015-05-29,1134025.9228301048,36.219027042388916,5
2015-06-01,1134712.9472727776,36.219027042388916,5
2015-06-02,1126854.7717022896,548.7325854301453,5
2015-06-03,1139898.4620256424,548.7325854301453,5
2015-06-04,1128603.5293588638,452424.1880259514,3
2015-06-05,1146703.9756217003,21.39118719100952,5
2015-06-08,1163507.8755931854,208156.07471990585,4
2015-06-09,1166517.1638331413,208156.07471990585,4
2015-06-10,1181395.6919288635,47.7541708946228,5
2015-06-11,1172108.5253653526,47.7541708946228,5
2015-06-12,1174586.1418757439,47.7541708946228,5
2015-06-15,1184334.0792589188,47.7541708946228,5
2015-06-16,1192318.0098052025,47.7541708946228,5
2015-06-17,1210721.8490595818,203280.78636693954,4
2015-06-18,1223745.9667282104,7.378713130950928,5
2015-06-19,1220334.7827558517,7.378713130950928,5
2015-06-22,1223148.6673440933,7.378713130950928,5
2015-06-23,1227060.6452703476,7.378713130950928,5
2015-06-24,1227573.583621025,7.378713130950928,5
2015-06-25,1227979.6962571144,3701.7281699180603,5
2015-06-26,1216851.786456108,23.225821495056152,5
2015-06-29,1183304.603644371,18704.230998039246,5
2015-06-30,1185432.5246515274,490246.01342105865,3
2015-07-01,1188807.6920518875,490246.01342105865,3
2015-07-02,1169164.2302827835,714608.1807794571,2
2015-07-06,1167692.5754671097,14115.196444511414,5
2015-07-07,1168503.0232553482,4077.2286901474,5
2015-07-08,1146769.8164396286,230692.41337108612,4
2015-07-09,1148689.2069997787,694210.0807294846,2
2015-07-10,1154505.0114889145,232429.57713222504,4
2015-07-13,1164796.5584115982,232429.57713222504,4
2015-07-14,1164662.1757440567,93.69894313812256,5
2015-07-15,1150660.6660490036,65.58073329925537,5
2015-07-16,1162840.1407842636,65.58073329925537,5
2015-07-17,1156940.3709726334,58.36592769622803,5
2015-07-20,1166122.0818719864,44.81375789642334,5
2015-07-21,1166218.7399053574,44.81375789642334,5
2015-07-22,1172650.458533287,44.81375789642334,5
2015-07-23,1159677.654381752,44.81375789642334,5
2015-07-24,1142992.1051244736,218704.83034420013,4
2015-07-27,1128288.1413850784,677341.403254509,2
2015-07-28,1132369.8015584946,1176.5029401779175,5
2015-07-29,1136306.2584791183,1176.5029401779175,5
2015-07-30,1136183.8542137146,1176.5029401779175,5
2015-07-31,1153290.2559728622,1176.5029401779175,5
2015-08-03,1144035.1654396057,1176.5029401779175,5
